,Unnamed: 0,id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,meters_estimated_diameter,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,first_observation_date,last_observation_date,orbit_class_description,volume (m^3)
34,34,2003753,3753 Cruithne (1986 TO),-0.6393391196398581,False,0,1.5446091716732978e-36,223,2,1.506744023921014,0.04394907612046859,1973-10-17,2021-11-08,2,1.1977498956249287e-100
35,35,2003757,3757 Anagolay (1982 XB),-0.6389535962629346,True,0,1.5446091716732978e-36,47,1,2.148783130640126,0.04564751314045893,1982-12-14,2019-09-19,3,1.1977498956249287e-100
36,36,2003838,3838 Epona (1986 WA),-0.6393151670040138,False,0,1.5446091716732978e-36,141,1,1.478510158435394,0.045542220231752396,1986-11-30,2022-02-22,3,1.1977498956249287e-100
37,37,2003908,3908 Nyx (1980 PA),-0.639131530129207,False,0,1.5446091716732978e-36,236,0,2.1903430238841963,0.04582498565000798,1980-08-06,2022-04-10,1,1.1977498956249287e-100
38,38,2003988,3988 Huma (1986 LA),-0.6390619534250876,False,0,1.5446091716732978e-36,140,0,2.211229053685443,0.044844378559246945,1986-06-04,2022-03-03,1,1.1977498956249287e-100
39,39,2004015,4015 Wilson-Harrington (1979 VA),-0.6392820895545144,True,0,1.5446091716732978e-36,190,1,2.0707524452677237,0.047098408456919046,1949-11-19,2022-04-05,3,1.1977498956249287e-100
40,40,2004034,4034 Vishnu (1986 PA),-0.6390094857465715,True,0,1.5446091716732978e-36,92,1,1.600310381165985,0.043985670305245014,1986-08-02,2021-09-11,3,1.1977498956249287e-100
41,41,2004055,4055 Magellan (1985 DO2),-0.6394280865729943,False,0,1.5446091716732978e-36,736,0,2.5137263861829906,0.045362556629110005,1985-01-21,2022-04-11,1,1.1977498956249287e-100
42,42,2004179,4179 Toutatis (1989 AC),-0.6393630722757025,True,0,1.5446091716732978e-36,613,1,2.0547759050260517,0.04699083143347118,1934-02-10,2022-04-10,3,1.1977498956249287e-100
43,43,2004183,4183 Cuno (1959 LM),-0.6394976632771137,True,0,1.5446091716732978e-36,501,1,1.743952340359442,0.046256142442096075,1959-06-05,2021-11-03,3,1.1977498956249287e-100
44,44,2004197,4197 Morpheus (1982 TA),-0.6394064151405637,False,0,1.5446091716732978e-36,158,1,1.53854250405274,0.04694150394459762,1954-09-03,2021-08-09,3,1.1977498956249287e-100
45,45,2004257,4257 Ubasti (1987 QA),-0.6392775271476869,False,0,1.5446091716732978e-36,199,1,1.9390526299372506,0.04536784386821961,1987-08-23,2022-04-13,3,1.1977498956249287e-100
46,46,2004341,4341 Poseidon (1987 KF),-0.6392786677493938,False,0,1.5446091716732978e-36,164,1,1.598272690333562,0.04610087453743583,1987-05-29,2022-04-08,3,1.1977498956249287e-100
47,47,2004401,4401 Aditi (1985 TB),-0.6392820895545144,False,0,1.5446091716732978e-36,208,0,2.3323877447676002,0.04691959668993219,1985-10-14,2019-05-31,1,1.1977498956249287e-100
48,48,2004450,4450 Pan (1987 SY),-0.6391520609599307,True,0,1.5446091716732978e-36,245,1,1.6075257758003803,0.04520046289835875,1937-02-06,2022-01-01,3,1.1977498956249287e-100
49,49,2004486,4486 Mithra (1987 SB),-0.6393379790381513,True,0,1.5446091716732978e-36,232,1,1.7659233403305241,0.04661972530466857,1987-01-29,2022-03-23,3,1.1977498956249287e-100
50,50,2004487,4487 Pocahontas (1987 UA),-0.639114421103604,False,0,1.5446091716732978e-36,171,0,2.4955736281900593,0.04514112750010315,1987-09-24,2022-03-12,1,1.1977498956249287e-100
51,51,2004503,4503 Cleobulus (1989 WM),-0.6393094639954794,False,0,1.5446091716732978e-36,213,0,2.6294901765259864,0.046982552045258454,1980-12-30,2021-06-04,1,1.1977498956249287e-100
52,52,2004544,4544 Xanthus (1989 FB),-0.6391246865189658,False,0,1.5446091716732978e-36,220,1,1.81378845276407,0.04350083881869298,1989-03-30,2022-04-14,3,1.1977498956249287e-100
53,53,2004581,4581 Asclepius (1989 FC),-0.6387380225403354,True,0,1.5446091716732978e-36,110,1,1.6702424111833545,0.04369160135052752,1989-03-31,2021-04-18,3,1.1977498956249287e-100
54,54,2004596,4596 (1981 QB),-0.6392478715033082,False,0,1.5446091716732978e-36,116,0,2.2440033271315336,0.04640184413485911,1981-08-28,2021-08-15,1,1.1977498956249287e-100
55,55,2004660,4660 Nereus (1982 DB),-0.6389798301021927,True,0,1.5446091716732978e-36,246,1,2.0490548866678964,0.04482217784187871,1981-09-30,2022-04-12,3,1.1977498956249287e-100
56,56,2004688,4688 (1980 WF),-0.6388874413639359,False,0,1.5446091716732978e-36,70,0,2.246722252722213,0.04638817685798922,1980-11-29,2021-04-07,1,1.1977498956249287e-100
57,57,2004769,4769 Castalia (1989 PB),-0.6391155617053108,True,0,1.5446091716732978e-36,93,1,1.5631615052580656,0.044076591616829836,1989-08-01,2021-07-07,3,1.1977498956249287e-100
58,58,2004947,4947 Ninkasi (1988 TJ1),-0.6390562504165533,False,0,1.5446091716732978e-36,171,0,2.353873183440096,0.04412224861377795,1978-02-17,2021-01-16,1,1.1977498956249287e-100
59,59,2004953,4953 (1990 MU),-0.6393961497252019,True,0,1.5446091716732978e-36,222,1,1.5684608863058576,0.04568737611494176,1974-07-21,2021-08-28,3,1.1977498956249287e-100
60,60,2004954,4954 Eric (1990 SQ),-0.6396744565416792,False,0,1.5446091716732978e-36,608,0,2.2904503639793052,0.04591724293492088,1975-06-07,2022-04-16,1,1.1977498956249287e-100
61,61,2004957,4957 Brucemurray (1990 XJ),-0.6394064151405637,False,0,1.5446091716732978e-36,147,0,2.5059686889671626,0.0446521879251753,1976-03-11,2022-03-02,1,1.1977498956249287e-100
